"date","Apple","IBM","ITW","TESLA"
2011-05-06,12.380714,168.889999,58.150002,5.424
2011-05-09,12.414286,169.100006,58.009998,5.582
2011-05-10,12.480357,170.380005,58.290001,5.666
2011-05-11,12.401072,169.5,58.09,5.414
2011-05-12,12.3775,172.240005,58.330002,5.534
2011-05-13,12.160714,169.919998,57.950001,5.51
2011-05-16,11.903571,168.860001,57.41,5.32
2011-05-17,12.005,170.5,56.98,5.192
2011-05-18,12.138214,170.440002,57.75,5.27
2011-05-19,12.161786,170.589996,57.650002,5.64
2011-05-20,11.972143,170.160004,57.09,5.594
2011-05-23,11.942857,168.259995,56.540001,5.364
2011-05-24,11.863929,167.990005,56.509998,5.344
2011-05-25,12.027857,167.75,57.040001,5.796
2011-05-26,11.964286,167.179993,56.990002,5.896
2011-05-27,12.050357,167.5,57.040001,5.91
2011-05-31,12.4225,168.929993,57.32,6.028
2011-06-01,12.339643,166.559998,56.259998,5.704
2011-06-02,12.360714,166.089996,56.490002,5.752
2011-06-03,12.265715,165.050003,56.080002,6.026
2011-06-06,12.072857,164.75,55.77,5.74
2011-06-07,11.858571,163.690002,55.709999,5.674
2011-06-08,11.865714,164.339996,55.139999,5.424
2011-06-09,11.838928,164.839996,55.34,5.524
2011-06-10,11.639286,163.179993,54.639999,5.572
2011-06-13,11.664286,163.169998,54.549999,5.686
2011-06-14,11.872857,164.119995,55.549999,5.72
2011-06-15,11.669642,162.330002,54.299999,5.464
2011-06-16,11.612857,162.669998,54.639999,5.3
2011-06-17,11.437857,164.440002,54.93,5.3
2011-06-20,11.261429,165.020004,54.619999,5.202
2011-06-21,11.617857,166.220001,55.540001,5.506
2011-06-22,11.521786,165.679993,55.439999,5.442
2011-06-23,11.829643,166.119995,54.880001,5.542
2011-06-24,11.655357,165.070007,54.349998,5.514
2011-06-27,11.858571,167.619995,54.75,5.492
2011-06-28,11.973572,170.009995,54.990002,5.622
2011-06-29,11.93,170.539993,55.18,5.658
2011-06-30,11.988214,171.550003,56.490002,5.826
2011-07-01,12.259286,174.539993,57.610001,5.804
2011-07-05,12.479643,175.429993,57.650002,5.828
2011-07-06,12.562857,177.710007,58.119999,5.792
2011-07-07,12.757143,176.479996,59.02,5.946
2011-07-08,12.846786,176.490005,58.91,5.762
2011-07-11,12.642858,174.990005,58.139999,5.67
2011-07-12,12.633928,174.050003,57.599998,5.634
2011-07-13,12.786428,174.320007,57.720001,5.728
2011-07-14,12.7775,174.229996,56.82,5.522
2011-07-15,13.032857,175.539993,57.09,5.516
2011-07-18,13.35,175.279999,56.330002,5.446
2011-07-19,13.458928,185.210007,56.619999,5.578
2011-07-20,13.817857,183.649994,56.580002,5.738
2011-07-21,13.831786,184.899994,56.959999,5.74
2011-07-22,14.046429,185.179993,56.970001,5.858
2011-07-25,14.232142,183.699997,57.009998,5.698
2011-07-26,14.4075,182.929993,52.34,5.6
2011-07-27,14.021071,181.350006,50.720001,5.528
2011-07-28,13.993571,181.800003,49.790001,5.634
2011-07-29,13.945714,181.850006,49.799999,5.634
2011-08-01,14.169642,180.75,49.900002,5.754
2011-08-02,13.889643,178.050003,48.34,5.468
2011-08-03,14.020357,178.830002,48.869999,5.44
2011-08-04,13.4775,171.479996,46.5,4.95
2011-08-05,13.343572,172.979996,46.330002,4.848
2011-08-08,12.614643,166.220001,42.900002,4.728
2011-08-09,13.3575,170.610001,44.380001,5.012
2011-08-10,12.988929,162.539993,42.32,4.764
2011-08-11,13.346429,166.729996,44.830002,5.06
2011-08-12,13.463928,168.199997,45.09,5.262
2011-08-15,13.693214,172.990005,45.290001,5.246
2011-08-16,13.588572,171.240005,44.77,5.22
2011-08-17,13.587143,171.479996,44.049999,5.166
2011-08-18,13.073215,163.830002,41.419998,4.852
2011-08-19,12.715357,157.539993,41.360001,4.46
2011-08-22,12.73,158.979996,42.040001,4.39
2011-08-23,13.342857,164.320007,43.830002,4.592
2011-08-24,13.435,166.759995,44.73,4.774
2011-08-25,13.347143,165.580002,43.57,4.622
2011-08-26,13.699286,169.139999,44.790001,4.746
2011-08-29,13.9275,172.619995,46.450001,4.942
2011-08-30,13.928214,172.509995,46.419998,4.926
2011-08-31,13.743929,171.910004,46.540001,4.948
2011-09-01,13.608214,170.330002,45.209999,4.8
2011-09-02,13.358929,166.979996,43.669998,4.614
